,New Code,Children in Poverty; % of children aged under 16 in poverty; 2011,Employment; Adults not in Employment - 2011 Census; % of households with no adults in employment with dependent children,Employment; Economic Activity (Percentages) - 2011 Census; Employment rate (16-64),Employment; Economic Activity (Percentages) - 2011 Census; Economically active %,Employment; Economic Activity (Percentages) - 2011 Census; Economically active: % Unemployed,Employment; Economic Activity (Percentages) - 2011 Census; Employment rate (16-74),Employment; Lone Parent Not in Employment - 2011 Census; Lone parent not in employment %,Health and Disability; General Health - 2011 Census; % People whose Day-to-day activities are limited a lot,Health and Disability; General Health - 2011 Census; % People with Bad or Very Bad Health,Life Expectancy; Life expectancy at birth (all persons); 2007-2011,Life Expectancy; Male life expectancy; 2007-2011,Out-of-Work Families; Rates children (0-18) living in Out-of-work Benefit Claimant Households; 2011,Population and Age; Age structure (percentage) - 2013; Aged 0-15,Population and Age; Age structure (percentage) - 2013; Aged 16-64,Population and Age; Age structure (percentage) - 2013; Aged 65+,Qualifications; Qualifications and Students - 2011 Census; % of 16+ who are schoolchildren and full-time students: Age 18 and over
0,E09000001,13.9,0.86659065,79.63286713,78.8,4.525341915,75.26557793,24.17582418,4.4,3.4,83.70445796,82.25281555,12.0,7.5,77.5,15.0,6.2
1,E05000026,34.5,8.748906387,60.34807671,68.2,14.48823804,58.35016477,55.31062124,5.1,4.3,82.13247634,81.0248253,28.47222222,25.27472527,69.96336996,5.128205128,14.3
2,E05000027,35.7,12.44019139,63.10738766,67.5,12.17173822,59.26863572,60.99518459,8.8,6.7,78.30133535,75.95760454,33.53846154,25.96153846,63.46153846,10.57692308,5.8
3,E05000028,34.3,10.73182137,61.19244078,67.2,13.81154343,57.89669268,51.51057402,8.8,7.0,78.72164159,77.46220706,32.57142857,24.89626556,66.39004149,9.128630705,7.7
4,E05000029,35.6,10.14713343,63.63939343,66.8,12.11849192,58.675457,55.23978686,9.8,6.8,80.33558712,79.27334326,30.17241379,24.13793103,60.591133,15.27093596,5.3
5,E05000030,28.4,6.663236429,68.22166097,70.6,10.9633289,62.84871245,48.69791667,8.6,5.9,78.17056753,76.52845583,23.57142857,20.28301887,65.09433962,14.62264151,5.0
6,E05000031,33.4,11.11891386,61.5405442,66.8,12.66540643,58.34069958,52.45901639,8.2,6.4,81.6386073,78.70618721,30.2739726,25.64102564,64.52991453,9.829059829,7.0
7,E05000032,38.6,14.74703983,56.36737844,65.7,17.24845996,54.33929885,57.17539863,7.1,5.9,79.03068415,75.10300294,34.48275862,31.67259786,62.63345196,5.693950178,10.3
8,E05000033,33.6,11.11111111,63.60582307,68.6,12.27333461,60.14919513,57.33944954,9.2,6.3,79.57463103,77.46211694,31.4084507,25.66371681,63.27433628,10.61946903,6.0
9,E05000034,40.6,11.74426685,61.42509875,67.4,14.33915212,57.75535939,55.41490858,10.2,6.7,77.98782067,75.9593724,35.67164179,25.57077626,62.55707763,11.87214612,6.0
10,E05000035,19.4,4.919354839,65.20986009,67.4,9.158912607,61.19714848,44.53125,6.8,4.6,81.55169899,78.14616897,15.46875,21.88841202,65.66523605,12.01716738,8.4
11,E05000036,36.0,11.03763988,61.89512992,66.3,12.67544807,57.87063537,54.20875421,9.5,7.0,78.3912388,75.76618225,30.75757576,26.44230769,62.5,11.05769231,5.8
12,E05000037,35.0,11.76006314,61.45478162,65.5,12.74710293,57.15986901,58.39285714,10.0,7.1,79.50626473,75.3031062,32.13114754,25.75757576,63.13131313,11.11111111,5.3
13,E05000038,32.1,10.20408163,64.19753086,68.8,12.25087925,60.39537386,51.17449664,8.5,5.5,75.90753998,73.82436297,27.82608696,26.31578947,63.59649123,10.0877193,6.7
14,E05000039,37.1,12.92035398,60.5309997,69.1,15.23789992,58.53278572,57.33333333,7.0,5.6,78.81021326,74.64024892,29.45945946,31.52542373,62.71186441,5.762711864,8.6
15,E05000040,33.2,10.06305833,63.09872923,67.4,12.74856385,58.80863738,49.81412639,10.2,7.6,77.50053446,74.62120786,31.5,25.0,63.0,12.0,5.2
16,E05000041,37.9,10.55844449,61.7107943,67.8,14.58498024,57.90460879,53.77906977,8.8,6.1,78.32423464,76.48951317,33.125,24.42396313,64.05529954,11.52073733,6.5
17,E05000042,27.5,7.579954671,67.47040772,70.3,10.37304911,62.99665552,47.25738397,7.4,4.9,81.5266305,77.86391999,22.71186441,23.04147465,64.51612903,11.98156682,5.9
18,E05000043,17.8,4.291137151,71.38967136,71.5,7.345497351,66.22633572,43.58974359,6.8,4.7,82.86269635,81.02855729,15.30864198,20.05988024,64.37125749,15.56886228,5.2
19,E05000044,32.8,9.777847309,63.66879615,68.3,11.17667083,60.63986366,48.01762115,8.2,6.1,78.42975556,75.35409985,28.20754717,24.19354839,66.39784946,9.139784946,8.1
20,E05000045,23.7,5.477491543,67.90429645,71.6,8.843984962,65.31313131,50.62166963,7.1,5.1,80.10362298,78.21303372,18.33333333,19.55445545,67.82178218,12.62376238,9.4
21,E05000046,34.5,8.457869634,61.91720766,67.0,11.7875191,59.07910272,49.09344491,6.3,4.7,82.61536747,80.13829866,27.55555556,22.37762238,69.46386946,8.158508159,13.0
22,E05000047,23.6,5.857800806,71.4699793,73.7,7.924606894,67.83275796,49.31087289,6.7,5.0,79.93597976,78.30734922,20.0,19.59654179,69.16426513,10.95100865,6.4
23,E05000048,19.4,5.221252488,71.53933434,71.9,7.312463083,66.62138066,42.97029703,6.5,4.5,82.68021642,80.39681626,15.64102564,20.79510703,64.52599388,14.67889908,5.4
24,E05000049,20.7,4.18485624,74.85997613,74.9,6.331512652,70.11849132,46.85990338,6.7,4.7,83.9567819,82.13348813,20.14285714,19.25465839,67.08074534,13.66459627,6.0
25,E05000050,21.2,5.567630831,68.96912114,70.3,7.648415685,64.95602425,45.75289575,6.4,4.3,84.45177505,83.12439549,17.47252747,22.78106509,62.4260355,14.79289941,6.6
26,E05000051,11.1,2.783521552,72.56828454,72.6,5.86893903,68.34262809,40.79422383,5.5,3.6,85.70580408,83.01953872,8.985507246,19.0625,64.0625,16.875,7.7
27,E05000052,7.7,2.37298933,73.05062915,72.3,4.507897934,69.08403657,41.81184669,4.4,2.7,85.58287225,83.32335163,5.405405405,20.74303406,61.91950464,17.3374613,6.1
28,E05000053,18.5,5.31361716,66.69287212,69.2,7.796728159,63.8313253,57.69230769,6.7,4.4,82.04413019,79.7876693,12.32758621,26.10722611,62.93706294,10.95571096,7.7
29,E05000054,19.5,5.02829426,70.67533406,71.7,7.35042735,66.38902499,40.90909091,6.8,4.6,83.42908333,81.44068244,16.84210526,22.79202279,63.24786325,13.96011396,6.1
30,E05000055,13.5,3.589375449,66.73833413,69.6,8.08862504,63.93333825,40.81081081,5.8,4.1,82.67428036,80.76200685,11.03448276,21.02425876,66.84636119,12.12938005,13.6
31,E05000056,11.4,2.769277846,74.54545455,73.3,5.536543632,69.20046557,38.4180791,6.9,4.2,82.04946638,80.34775442,8.208955224,18.32797428,64.30868167,17.36334405,4.3
32,E05000057,20.0,5.134545455,70.47127507,71.4,6.694515853,66.65391384,46.42201835,5.7,4.0,84.82528561,83.23323256,15.64356436,21.95767196,64.28571429,14.02116402,6.3
33,E05000058,17.9,4.196370706,73.43535413,72.6,5.71873876,68.48384568,48.61751152,6.8,4.6,81.99765543,80.34828124,14.86111111,19.12225705,63.63636364,17.24137931,4.9
34,E05000059,12.9,3.353973168,71.6048092,70.8,5.230728894,67.08426132,47.01195219,6.3,4.0,83.46355336,82.0580506,9.718309859,19.93670886,62.65822785,17.08860759,5.3
35,E05000060,26.0,5.805837563,68.3368128,68.8,8.810404182,62.7753884,46.5266559,8.2,5.5,81.54926703,77.98281091,21.75,19.87767584,63.60856269,16.51376147,5.7
36,E05000061,14.1,3.066566941,74.23456149,75.0,6.267290913,70.25281123,40.12345679,6.2,4.2,82.10338771,80.82649245,10.73529412,17.96407186,68.86227545,13.17365269,6.6
37,E05000062,19.2,4.69151671,67.23173278,70.0,9.001762891,63.6580854,45.68527919,6.7,5.0,81.95068973,79.36175578,15.18518519,20.33426184,67.96657382,11.42061281,10.7
38,E05000063,19.0,4.865334492,72.01210287,73.1,7.355864811,67.71701721,42.90909091,7.4,5.3,81.24578667,79.47478096,15.56962025,18.82022472,67.13483146,13.76404494,6.3
39,E05000064,16.9,3.330970943,75.78722103,72.1,5.966014038,67.80767182,38.01369863,7.3,4.5,82.77999798,79.20900925,14.16666667,18.30985915,62.44131455,19.24882629,3.3
40,E05000065,27.0,6.147795487,70.42600026,71.8,9.056727154,65.33176747,42.57602862,7.6,5.2,82.18808522,78.07016564,22.34375,22.44897959,64.48979592,13.06122449,5.4
41,E05000066,9.6,1.996151996,77.270003,73.3,4.826599928,69.76805137,26.72064777,6.4,4.2,84.98869006,82.58519004,9.4,18.98148148,62.5,18.51851852,3.8
42,E05000067,8.6,2.199101442,78.18315018,73.2,4.785850529,69.73583947,28.35820896,6.4,4.1,84.26682379,82.73144135,7.692307692,18.46846847,62.16216216,18.91891892,3.4
43,E05000068,9.5,1.946647441,76.63393679,70.5,4.443205057,67.39215943,34.09090909,7.2,4.4,84.22685952,81.96335836,8.222222222,16.35514019,61.21495327,22.42990654,3.2
44,E05000069,13.5,2.779645819,77.02683312,74.0,5.463547891,69.93810787,33.4519573,7.4,4.2,81.9511436,81.34471218,12.08333333,18.22222222,63.55555556,18.66666667,3.6
45,E05000070,26.5,7.228371358,70.24687855,70.5,9.424834259,63.84187926,51.93482688,8.0,6.0,80.93479518,78.81116132,23.89830508,22.46696035,62.55506608,14.97797357,3.9
46,E05000071,24.2,4.764916719,73.16936836,72.5,7.518147252,67.00475833,42.07920792,7.9,5.4,81.29628301,78.19560571,22.24137931,21.36752137,63.67521368,14.95726496,3.7
47,E05000072,24.3,5.523688124,71.38532507,69.6,7.078836656,64.63926708,49.29906542,8.8,6.0,82.19310857,79.92808035,22.72727273,20.61403509,61.40350877,17.54385965,3.9
48,E05000073,17.5,3.368515607,74.97844208,72.6,6.064313177,68.16740647,34.51327434,7.1,4.6,82.52394039,80.70130028,13.26530612,18.09954751,63.80090498,17.64705882,4.0
49,E05000074,19.4,3.396674584,73.4550767,71.0,7.194115536,65.93168493,34.64052288,8.2,5.4,82.19085507,80.38075454,16.66666667,18.5520362,62.8959276,19.00452489,4.2
50,E05000075,29.0,8.284263959,67.61684643,70.1,10.37309687,62.81660413,53.65853659,7.4,5.3,80.66206672,77.66115602,25.67164179,24.30278884,63.74501992,11.95219124,5.6
51,E05000076,11.5,2.331794996,76.20807277,74.5,6.139154161,69.90981837,27.23404255,5.9,3.6,82.32432341,79.68828545,9.0,18.63636364,65.0,16.36363636,3.9
52,E05000077,22.4,5.105239588,69.69612876,69.5,8.577517315,63.56340289,40.83129584,8.5,5.5,81.96911302,80.74802758,18.07017544,20.43478261,63.04347826,16.08695652,5.2
53,E05000078,12.8,2.321428571,75.38604077,71.9,5.80897412,67.76051433,37.16814159,9.2,5.0,81.0230065,80.2632239,9.523809524,16.43192488,62.44131455,21.12676056,5.1
54,E05000079,34.6,11.07752105,63.31491713,68.4,13.0733519,59.42617748,53.67741935,8.3,5.7,78.38451293,75.55388666,32.02702703,26.69491525,62.71186441,10.59322034,5.4
55,E05000080,18.3,4.20084514,73.63476218,71.8,6.459243086,67.19383087,40.06024096,7.1,4.5,82.11382804,79.33804102,15.92592593,20.0,63.72093023,16.27906977,3.9
56,E05000081,7.4,1.655011655,77.32330356,71.8,4.613953488,68.50614645,29.94652406,6.3,3.9,84.27001915,82.86053044,6.595744681,17.84037559,60.09389671,22.0657277,3.2
57,E05000082,13.1,3.229844767,75.89923023,74.1,5.982036943,69.69849246,32.0,6.3,4.1,82.7749305,79.98148672,11.5,21.23893805,64.15929204,15.04424779,4.2
58,E05000083,11.0,2.158433467,74.03680276,71.4,5.420726306,67.49683944,31.42857143,7.3,4.7,80.67511014,78.69702166,8.372093023,15.38461538,64.25339367,20.36199095,7.0
59,E05000084,29.8,9.385254868,62.59551547,70.1,14.86327797,59.70588235,46.45550528,5.8,4.7,78.03435574,75.81316616,23.20512821,27.41935484,65.32258065,7.258064516,9.0
60,E05000085,16.5,4.980750722,67.36159601,69.9,8.956014838,63.64141508,47.52851711,5.9,4.4,81.57763301,78.81802018,15.07692308,18.91891892,71.28378378,9.797297297,9.6
61,E05000086,27.1,6.547068615,64.1759909,67.3,10.33196089,60.37948363,44.49064449,7.4,5.7,79.11913802,77.67440268,21.26582278,20.49689441,67.08074534,12.42236025,8.9
62,E05000087,24.1,3.802922443,71.79431781,73.5,7.775524003,67.82020684,42.24422442,7.6,5.9,82.93831582,81.25257488,20.19230769,16.98113208,70.56603774,12.0754717,7.5
63,E05000088,35.7,9.169793621,61.5294531,65.2,11.42156863,57.78701631,52.50544662,7.4,5.4,85.58721506,82.93010983,32.875,23.80952381,64.46886447,11.72161172,8.8
64,E05000089,34.3,8.041554444,65.90023753,70.1,10.63561989,62.61575095,51.08910891,6.5,5.2,84.34171096,80.71881191,31.48648649,20.64516129,69.03225806,10.32258065,8.7
65,E05000090,20.2,4.915409236,66.47877984,69.0,9.124194493,62.7337984,45.68345324,6.4,4.9,83.41997139,80.76394058,17.05882353,20.57761733,67.14801444,12.27436823,9.3
66,E05000091,40.9,10.95581605,59.32382462,66.8,15.57659208,56.42563681,46.7486819,7.6,6.5,79.16701375,76.69102256,36.22641509,26.80115274,64.84149856,8.645533141,8.2
67,E05000092,30.7,6.66336797,68.75527624,72.9,10.43540842,65.33379998,47.37678855,6.6,5.8,83.07750267,79.37088315,26.52173913,20.26578073,70.09966777,9.634551495,7.5
68,E05000093,12.3,2.845318158,70.26925954,70.0,7.67299545,64.64513294,37.01298701,7.6,4.7,86.35502495,82.94327837,10.4,16.06425703,65.86345382,17.67068273,8.4
69,E05000094,36.0,5.837033168,68.8879903,73.8,10.92901772,65.71946796,47.1281296,7.3,6.3,80.65447259,76.48200004,33.83561644,19.25287356,71.55172414,8.908045977,7.7
70,E05000095,29.0,4.550499445,70.61930318,74.3,8.697528866,67.85084202,44.89795918,5.8,4.9,80.83455879,78.13993347,23.83333333,16.66666667,74.52830189,8.805031447,10.0
71,E05000096,14.9,2.947571877,67.39759573,69.0,8.803841676,62.89642714,36.72316384,6.1,4.0,81.99886303,80.86380989,12.22222222,16.28787879,70.83333333,13.25757576,13.0
72,E05000097,23.9,5.405405405,67.03889103,69.2,8.869631706,63.02661731,41.22340426,6.9,4.7,82.89262056,80.54420519,19.47368421,20.38216561,66.87898089,12.7388535,9.1
73,E05000098,18.4,4.207841887,75.82054941,77.8,6.765783236,72.53373565,39.375,5.5,4.4,82.17428323,80.49199462,17.34375,19.41747573,71.197411,9.385113269,6.3
74,E05000099,21.3,5.436852126,67.67027185,68.8,8.236658933,63.1340901,51.85185185,7.3,5.5,82.52580326,82.17160391,19.5890411,19.56521739,68.01242236,12.42236025,8.0
75,E05000100,44.4,13.24750127,54.249836,61.9,17.24475524,51.26494542,50.0,8.4,6.9,79.689823,76.00229141,39.56521739,26.80115274,64.26512968,8.933717579,10.0
76,E05000101,20.6,5.141441255,67.39595488,70.0,9.245960503,63.48793397,42.02898551,7.0,5.3,82.08196601,79.9864954,17.80821918,21.05263158,68.09210526,10.85526316,10.3
77,E05000102,24.2,4.790296053,67.45762712,70.1,9.807549963,63.23300467,44.10774411,7.2,5.1,80.24773174,77.81927635,18.23529412,18.26086957,71.30434783,10.43478261,9.9
78,E05000103,28.0,6.633395716,64.85405405,68.5,10.88277858,61.07915096,41.56769596,7.7,5.6,81.82971243,79.67988687,24.14285714,21.14695341,67.02508961,11.82795699,8.2
79,E05000104,22.8,4.520547945,65.6267672,69.5,10.31956549,62.3244382,44.32234432,7.3,5.3,82.57396922,79.78893634,18.61538462,18.32797428,71.70418006,10.28938907,12.2
80,E05000105,34.2,6.873248723,68.62899693,73.5,10.41831097,65.80255094,45.54294976,6.4,4.9,78.95656196,74.95552575,30.42857143,19.18238994,72.95597484,7.86163522,9.4
81,E05000106,8.4,2.111613876,76.03126357,72.1,4.414461619,68.90462701,35.61151079,7.3,4.0,80.74767572,78.85122452,6.571428571,19.21824104,60.58631922,20.19543974,3.3
82,E05000107,14.1,2.199488491,79.16860555,75.4,4.790847336,71.76930333,26.5060241,5.0,3.4,83.83644478,81.66388642,10.65217391,18.22660099,63.54679803,18.22660099,2.4
83,E05000108,17.8,4.54179417,73.15528344,71.6,6.635257165,66.84156282,40.36363636,6.9,4.4,83.41802136,81.44850437,15.26315789,20.63492063,62.22222222,17.14285714,3.3
84,E05000109,12.4,2.845967089,78.64648264,77.4,5.517313308,73.16856474,36.83083512,5.3,3.4,80.90537226,79.30401092,11.71052632,20.28169014,65.91549296,13.8028169,3.3
85,E05000110,6.9,1.578044597,77.29141207,72.9,4.289296555,69.75759908,25.0,5.3,3.1,83.88398066,82.55947052,6.376811594,19.04761905,60.88435374,20.06802721,2.6
86,E05000111,9.6,2.399737015,75.06690455,70.7,4.493009366,67.5628961,38.5665529,7.3,4.0,81.9983695,80.64763284,7.538461538,18.09210526,60.19736842,21.71052632,3.4
87,E05000112,13.6,3.231415737,77.74658432,77.9,6.225077537,73.05833621,36.73469388,5.4,3.8,81.90214614,79.21936175,12.19178082,20.88607595,66.7721519,12.34177215,3.1
88,E05000113,18.8,2.801085884,79.51930215,77.5,5.00323485,73.60066834,43.62745098,5.8,3.5,81.34127969,79.0875691,16.25,14.28571429,68.88888889,16.82539683,2.5
89,E05000114,34.8,8.023307934,69.29998954,68.6,8.654360621,62.69163683,51.85643564,8.0,5.7,80.76505617,78.84947283,29.87804878,22.36421725,60.7028754,16.93290735,3.2
90,E05000115,32.6,7.910271547,67.41387676,68.0,8.896252868,61.9786699,51.32947977,9.3,6.3,80.68063526,77.390403,29.15789474,23.46041056,61.29032258,15.24926686,3.7
91,E05000116,35.3,7.018979058,69.48792487,74.6,10.4299702,66.8360864,47.77777778,7.5,5.3,78.24131762,75.54869397,30.90909091,20.23809524,71.42857143,8.333333333,5.7
