,Children_Poverty_Rate,E1,E2,E3,E4,E5,E6,HD1,HD2,L1,L2,O,P1,P2,P3,Q,Component 1,Component 2,Component 3,Segment K-means PCA,Segment,New Code
0,13.9,0.86659065,79.63286713,78.8,4.525341915,75.26557793,24.17582418,4.4,3.4,83.70445796,82.25281555,12.0,7.5,77.5,15.0,6.2,-0.8441995818242752,0.4731150873747058,0.06927906981544237,1,second,E09000001
1,34.5,8.748906387,60.34807671,68.2,14.48823804,58.35016477,55.31062124,5.1,4.3,82.13247634,81.0248253,28.47222222,25.27472527,69.96336996,5.128205128,14.3,0.5530661150121085,0.055106908025511575,0.3030610966670602,0,first,E05000026
2,35.7,12.44019139,63.10738766,67.5,12.17173822,59.26863572,60.99518459,8.8,6.7,78.30133535,75.95760454,33.53846154,25.96153846,63.46153846,10.57692308,5.8,0.7480682640787029,-0.3342555190796812,-0.20467074793120507,0,first,E05000027
3,34.3,10.73182137,61.19244078,67.2,13.81154343,57.89669268,51.51057402,8.8,7.0,78.72164159,77.46220706,32.57142857,24.89626556,66.39004149,9.128630705,7.7,0.7246356109795802,-0.24974589871027375,-0.06601133215591294,0,first,E05000028
4,35.6,10.14713343,63.63939343,66.8,12.11849192,58.675457,55.23978686,9.8,6.8,80.33558712,79.27334326,30.17241379,24.13793103,60.591133,15.27093596,5.3,0.5369113903094128,-0.5349261181839898,-0.11309037759191631,0,first,E05000029
5,28.4,6.663236429,68.22166097,70.6,10.9633289,62.84871245,48.69791667,8.6,5.9,78.17056753,76.52845583,23.57142857,20.28301887,65.09433962,14.62264151,5.0,0.22309012089121896,-0.23828387878254417,-0.1783877290723724,0,first,E05000030
6,33.4,11.11891386,61.5405442,66.8,12.66540643,58.34069958,52.45901639,8.2,6.4,81.6386073,78.70618721,30.2739726,25.64102564,64.52991453,9.829059829,7.0,0.6022998809627113,-0.32358317999433095,0.002357026181237255,0,first,E05000031
7,38.6,14.74703983,56.36737844,65.7,17.24845996,54.33929885,57.17539863,7.1,5.9,79.03068415,75.10300294,34.48275862,31.67259786,62.63345196,5.693950178,10.3,1.0664694831696677,-0.3663497674498013,-0.021014810999857404,0,first,E05000032
8,33.6,11.11111111,63.60582307,68.6,12.27333461,60.14919513,57.33944954,9.2,6.3,79.57463103,77.46211694,31.4084507,25.66371681,63.27433628,10.61946903,6.0,0.6217119444146337,-0.3400102340114547,-0.1595034712533679,0,first,E05000033
9,40.6,11.74426685,61.42509875,67.4,14.33915212,57.75535939,55.41490858,10.2,6.7,77.98782067,75.9593724,35.67164179,25.57077626,62.55707763,11.87214612,6.0,0.8422695203203855,-0.4234542042440819,-0.21859396110713825,0,first,E05000034
10,19.4,4.919354839,65.20986009,67.4,9.158912607,61.19714848,44.53125,6.8,4.6,81.55169899,78.14616897,15.46875,21.88841202,65.66523605,12.01716738,8.4,-0.02486797223896687,-0.20500286641636667,0.14385776301921233,1,second,E05000035
